Date,Open,High,Low,Close,Adj Close,Volume
2014-09-05,2825.0,2829.0,2751.0,2761.800048828125,2078.457275390625,324337
2014-09-08,2850.0,2850.0,2756.25,2781.050048828125,2092.944091796875,236925
2014-09-09,2800.0,2800.0,2740.10009765625,2749.60009765625,2069.275146484375,178834
2014-09-10,2750.0,2761.64990234375,2675.0,2682.800048828125,2019.003173828125,320429
2014-09-11,2690.0,2731.5,2670.0,2720.300048828125,2047.224853515625,408168
2014-09-12,2720.0,2765.89990234375,2699.0,2758.550048828125,2076.0107421875,225252
2014-09-15,2750.0,2808.800048828125,2726.300048828125,2799.64990234375,2106.94189453125,404377
2014-09-16,2799.64990234375,2823.699951171875,2778.050048828125,2790.5,2100.0556640625,425069
2014-09-17,2805.0,2878.0,2793.0,2828.699951171875,2128.8037109375,608929
2014-09-18,2830.0,3010.449951171875,2817.0,2992.64990234375,2252.18798828125,632305
2014-09-19,3001.89990234375,3017.0,2940.5,2951.39990234375,2221.14453125,312955
2014-09-22,2940.0,3009.699951171875,2933.300048828125,2997.85009765625,2256.1015625,248109
2014-09-23,2995.0,3029.0,2970.0,2978.199951171875,2241.313720703125,304207
2014-09-24,2986.0,2998.0,2918.0,2943.25,2215.010986328125,313069
2014-09-25,2951.449951171875,2959.800048828125,2900.5,2932.949951171875,2207.259033203125,647534
2014-09-26,2925.050048828125,2934.5,2844.10009765625,2896.89990234375,2180.129150390625,368889
2014-09-29,2909.699951171875,2915.60009765625,2848.199951171875,2860.5,2152.73583984375,233169
2014-09-30,2860.25,2918.39990234375,2817.199951171875,2839.550048828125,2136.969482421875,542336
2014-10-01,2881.0,2926.75,2851.5,2874.949951171875,2163.6103515625,447543
2014-10-07,2874.949951171875,2874.949951171875,2798.60009765625,2808.14990234375,2113.337890625,301762
2014-10-08,2802.0,2819.75,2777.5,2799.050048828125,2106.489990234375,431918
2014-10-09,2801.0,2835.0,2801.0,2818.949951171875,2121.46630859375,495261
2014-10-10,2811.5,2872.5,2765.0,2841.0,2138.06005859375,471438
2014-10-13,2827.0,2892.75,2820.10009765625,2874.85009765625,2163.53466796875,473368
2014-10-14,2867.0,2879.0,2840.199951171875,2852.449951171875,2146.677490234375,429143
2014-10-15,2852.449951171875,2852.449951171875,2852.449951171875,2852.449951171875,2146.677490234375,0
2014-10-16,2874.0,2910.0,2725.949951171875,2798.949951171875,2106.415283203125,903551
2014-10-17,2890.0,2909.10009765625,2739.0,2873.89990234375,2162.8203125,1062740
2014-10-20,2914.949951171875,2945.89990234375,2827.5,2937.699951171875,2210.833984375,715327
2014-10-21,2937.949951171875,3003.0,2920.0,2995.85009765625,2254.5966796875,681898
2014-10-22,3026.0,3120.0,3026.0,3115.5,2344.6416015625,705957
2014-10-27,3120.0,3129.0,3063.050048828125,3082.949951171875,2320.1455078125,354733
2014-10-28,3090.0,3093.75,3006.0,3035.050048828125,2284.09765625,556481
2014-10-29,3104.89990234375,3108.60009765625,3027.10009765625,3037.85009765625,2286.20458984375,815016
2014-10-30,3036.0,3054.300048828125,3011.0,3031.64990234375,2281.5390625,712684
2014-10-31,3054.949951171875,3103.699951171875,3040.0,3064.25,2306.072509765625,731352
2014-11-03,3044.0,3050.0,2928.14990234375,3010.949951171875,2265.960205078125,613472
2014-11-05,3035.0,3036.39990234375,2943.300048828125,2963.300048828125,2230.100341796875,779386
2014-11-07,2920.0,2960.0,2862.60009765625,2887.60009765625,2173.130615234375,11665947
2014-11-10,2909.0,2938.0,2895.0,2933.10009765625,2207.37255859375,681780
